type,id,slug,url,title,title_len,desc,desc_len,canonical,robots,h1,words
pages,242703,aaron-farmer,https://californiafloodinsurance.com/aaron-farmer/,"Aaron Farmer | California Flood Insurance Specialist, Lloyd's MGA",65,"Meet Aaron Farmer — President of California Flood Insurance, a licensed flood specialist and Lloyd's of London coverholder who has helped 40,000+ Californians and homeowners nationwide.",185,https://californiafloodinsurance.com/aaron-farmer/,max-image-preview:large,Aaron Farmer,553
pages,242346,agent-appointment,https://californiafloodinsurance.com/agent-appointment/,Agent Appointment - California Flood Insurance,46,,0,https://californiafloodinsurance.com/agent-appointment/,max-image-preview:large,Agent Appointment,13
pages,242782,areas-we-serve,https://californiafloodinsurance.com/areas-we-serve/,California Flood Insurance — Cities & Areas We Serve,52,"California Flood Insurance serves homeowners statewide. Find flood insurance guidance for San Diego, Los Angeles, Sacramento, San Jose and more California cities.",162,https://californiafloodinsurance.com/areas-we-serve/,max-image-preview:large,,467
pages,241860,california-flood-glossary,https://californiafloodinsurance.com/california-flood-glossary/,California Flood Glossary - California Flood Insurance,54,,0,https://californiafloodinsurance.com/california-flood-glossary/,max-image-preview:large,California Flood Glossary,1017
pages,242768,california-flood-insurance-quotes,https://californiafloodinsurance.com/california-flood-insurance-quotes/,California Flood Insurance Quotes: Compare & Save,49,"Get California flood insurance quotes the smart way. See what drives your rate, compare private vs NFIP, and let us shop multiple Lloyd's markets for you.",154,https://californiafloodinsurance.com/california-flood-insurance-quotes/,max-image-preview:large,,1471
pages,242773,cheap-flood-insurance-california,https://californiafloodinsurance.com/cheap-flood-insurance-california/,Cheap Flood Insurance California: Save the Smart Way,52,Want cheap flood insurance in California? See how private flood often beats NFIP pricing and how to lower premiums without cutting coverage. Get a quote today.,159,https://californiafloodinsurance.com/cheap-flood-insurance-california/,max-image-preview:large,,1314
pages,242366,claims,https://californiafloodinsurance.com/claims/,Claims - California Flood Insurance,35,,0,https://californiafloodinsurance.com/claims/,max-image-preview:large,Claims,11
pages,241592,commercial-flood-insurance,https://californiafloodinsurance.com/commercial-flood-insurance/,Commercial Flood Insurance in California | Beyond NFIP,54,Commercial flood insurance for California businesses: NFIP caps building and contents at $500k each. See how private and excess flood close coverage gaps.,154,https://californiafloodinsurance.com/commercial-flood-insurance/,max-image-preview:large,,1401
pages,241690,condo-owners-flood-renters-flood,https://californiafloodinsurance.com/condo-owners-flood-renters-flood/,Flood Insurance Policy for Condo Owners & Renters in California,63,"If you rent or own your condominium unit, it is a good idea to purchase Flood Insurance Policy for both building and contents coverage.",135,https://californiafloodinsurance.com/condo-owners-flood-renters-flood/,max-image-preview:large,Condo Owners Flood | Renters Flood,368
pages,241619,contact-us,https://californiafloodinsurance.com/contact-us/,Contact California Flood Insurance | 855-225-3566,49,"Contact California's flood insurance experts. Call 855-225-3566 or message us for fast quotes, policy service, and claims help across California.",145,https://californiafloodinsurance.com/contact-us/,max-image-preview:large,Contact Us,54
pages,241698,facts-about-floods,https://californiafloodinsurance.com/facts-about-floods/,Facts about floods - California Flood Insurance,47,,0,https://californiafloodinsurance.com/facts-about-floods/,max-image-preview:large,Facts about floods,486
pages,242025,faqs,https://californiafloodinsurance.com/faqs/,"What is private flood insurance, Policies, Rates | Read more FAQ's",66,"Read Most Asked Flood Insurance Questions. What is private flood insurance, rates, coverage, policies & more. Find complete details here.",137,https://californiafloodinsurance.com/faqs/,max-image-preview:large,California FAQs,3336
pages,242792,flood-insurance-rates,https://californiafloodinsurance.com/flood-insurance-rates/,California Flood Insurance Rates: 2026 Pricing Guide,52,"See California flood insurance rates by zone in 2026: the state average runs about $780/yr, plus what really drives your price. Rates vary — get a quote today.",159,https://californiafloodinsurance.com/flood-insurance-rates/,max-image-preview:large,,1422
pages,242794,flood-zone-a,https://californiafloodinsurance.com/flood-zone-a/,Flood Zone A: What It Means & Do You Need Insurance?,52,"Flood Zone A is a high-risk SFHA with no determined Base Flood Elevation. Learn what flood zone A means, why insurance is mandatory, and how to get a CA quote.",159,https://californiafloodinsurance.com/flood-zone-a/,max-image-preview:large,,1418
pages,242793,flood-zone-ae,https://californiafloodinsurance.com/flood-zone-ae/,Flood Zone AE: What It Means & Insurance Rules | CA,51,"Flood Zone AE is a high-risk FEMA zone with a Base Flood Elevation. Learn what it means, why insurance is mandatory in California, and how to get a quote.",154,https://californiafloodinsurance.com/flood-zone-ae/,max-image-preview:large,,1517
pages,242795,flood-zone-ah-and-ao,https://californiafloodinsurance.com/flood-zone-ah-and-ao/,Flood Zone AH & AO Explained | Shallow Flooding (CA),52,"Flood zone AH means shallow ponding with a BFE; zone AO means sheet-flow flooding. Both are high-risk SFHAs in California. See coverage, cost & quote options.",158,https://californiafloodinsurance.com/flood-zone-ah-and-ao/,max-image-preview:large,,1520
pages,242796,flood-zone-v-and-ve,https://californiafloodinsurance.com/flood-zone-v-and-ve/,Flood Zone VE & V: Coastal High-Risk Flood Insurance,52,"Flood zone VE and V are California's highest-risk coastal zones with wave and surge hazard. Learn why rates run high, what BFE means, and how to get a quote.",157,https://californiafloodinsurance.com/flood-zone-v-and-ve/,max-image-preview:large,,1370
pages,242779,fresno-flood-insurance,https://californiafloodinsurance.com/fresno-flood-insurance/,Fresno Flood Insurance | Private & NFIP Quotes,46,"Fresno flood insurance from a licensed CA specialist. Compare private vs. NFIP coverage for Kings River, San Joaquin and foothill-stream risk. Get a quote.",155,https://californiafloodinsurance.com/fresno-flood-insurance/,max-image-preview:large,,1597
pages,241669,get-a-quote,https://californiafloodinsurance.com/get-a-quote/,Instant Flood Insurance Quote in California | Commercial & Residential,70,Save up 30% to 50% on flood insurance now! Get an Instant Flood Insurance Quote Online for Commercial & Residential in California.,130,https://californiafloodinsurance.com/get-a-quote/,max-image-preview:large,Submit Online Quote!,33
pages,2,home,https://californiafloodinsurance.com/,California Flood Insurance: Save 30–50% on Flood Quotes,55,California's flood insurance experts. Compare the lowest private & NFIP flood insurance rates from top carriers and get an instant quote in 2 minutes.,150,https://californiafloodinsurance.com/,max-image-preview:large,The Flood Insurance Experts,285
pages,241684,homeownwers-association-flood-insurance,https://californiafloodinsurance.com/homeownwers-association-flood-insurance/,Homeowners Association Flood Insurance - Condo's - HOA's,56,"As Flood Insurance experts in Homeowners Association Insurance, we also understand the need to have a master policy for floods. Contact us!",139,https://californiafloodinsurance.com/homeownwers-association-flood-insurance/,max-image-preview:large,Condo Homeownwers Association Flood Insurance,229
pages,242771,how-much-flood-insurance-do-i-need,https://californiafloodinsurance.com/how-much-flood-insurance-do-i-need/,How Much Flood Insurance Do I Need? | CA Guide,46,"How much flood insurance do I need? Learn replacement cost vs NFIP caps ($250k/$100k), contents coverage, and lender minimums for your California home.",151,https://californiafloodinsurance.com/how-much-flood-insurance-do-i-need/,max-image-preview:large,,1507
pages,241805,insights,https://californiafloodinsurance.com/insights/,Insights - California Flood Insurance,37,,0,https://californiafloodinsurance.com/insights/,max-image-preview:large,California Insights,372
pages,242778,long-beach-flood-insurance,https://californiafloodinsurance.com/long-beach-flood-insurance/,Long Beach Flood Insurance | Private & NFIP Quotes,50,"Long Beach flood insurance from a licensed CA specialist. Compare private vs. NFIP for LA River, San Gabriel River & Alamitos Bay homes. Get a fast quote.",154,https://californiafloodinsurance.com/long-beach-flood-insurance/,max-image-preview:large,,1666
pages,242775,los-angeles-flood-insurance,https://californiafloodinsurance.com/los-angeles-flood-insurance/,Los Angeles Flood Insurance | Private & NFIP Quotes,51,Los Angeles flood insurance from a licensed CA agency. Compare private vs. NFIP across multiple Lloyd's markets for burn-scar & coastal homes. Free quote.,154,https://californiafloodinsurance.com/los-angeles-flood-insurance/,max-image-preview:large,,1653
pages,242167,media,https://californiafloodinsurance.com/media/,Media - California Flood Insurance,34,,0,https://californiafloodinsurance.com/media/,max-image-preview:large,Media,61
